2021-11-02 07:39:26.615 | INFO     |  6144 | msm.skill_entry | Successfully installed mycroft-naptime
2021-11-02 07:39:26.615 | INFO     |  6144 | msm.mycroft_skills_manager | invalidating skills cache
2021-11-02 07:39:26.617 | INFO     |  6144 | msm.skill_entry | Installing requirements.txt for mycroft-ip
2021-11-02 07:39:26.618 | INFO     |  6144 | msm.skill_entry | Installing system requirements...
2021-11-02 07:39:26.619 | INFO     |  6144 | msm.skill_entry | Installing system requirements...
2021-11-02 07:39:26.623 | INFO     |  6144 | msm.skill_entry | Installing system requirements...
2021-11-02 07:39:26.624 | INFO     |  6144 | msm.skill_entry | Successfully installed mycroft-reminder
2021-11-02 07:39:26.625 | INFO     |  6144 | msm.mycroft_skills_manager | invalidating skills cache
2021-11-02 07:39:26.626 | INFO     |  6144 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-wiki
2021-11-02 07:39:26.632 | INFO     |  6144 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-version-checker
2021-11-02 07:39:26.686 | INFO     |  6144 | msm.skill_entry | Installing requirements.txt for mycroft-installer
2021-11-02 07:39:26.718 | INFO     |  6144 | msm.skill_entry | Installing system requirements...
2021-11-02 07:39:26.732 | INFO     |  6144 | msm.skill_entry | Installing requirements.txt for mycroft-npr-news
2021-11-02 07:39:26.737 | INFO     |  6144 | msm.skill_entry | Successfully installed mycroft-speak
2021-11-02 07:39:26.738 | INFO     |  6144 | msm.mycroft_skills_manager | invalidating skills cache
2021-11-02 07:39:26.740 | INFO     |  6144 | msm.skill_entry | Downloading skill: https://github.com/MycroftAI/skill-query
2021-11-02 07:39:26.806 | INFO     |  6144 | msm.skill_entry | Installing requirements.txt for mycroft-date-time
2021-11-02 07:39:26.828 | INFO     |  6144 | msm.skill_entry | Successfully installed mycroft-spelling
2021-11-02 07:39:26.828 | INFO     |  6144 | msm.mycroft_skills_manager | invalidating skills cache
2021-11-02 07:39:26.946 | INFO     |  6144 | msm.skill_entry | Installing system requirements...
2021-11-02 07:39:27.029 | INFO     |  6144 | msm.skill_entry | Installing requirements.txt for mycroft-alarm
2021-11-02 07:39:27.262 | INFO     |  6144 | msm.skill_entry | Installing system requirements...
2021-11-02 07:39:27.391 | INFO     |  6144 | msm.skill_entry | Successfully installed mycroft-stop
2021-11-02 07:39:27.391 | INFO     |  6144 | msm.mycroft_skills_manager | invalidating skills cache
2021-11-02 07:39:27.437 | INFO     |  6144 | msm.skill_entry | Installing system requirements...
2021-11-02 07:39:27.621 | INFO     |  6144 | msm.skill_entry | Installing system requirements...
2021-11-02 07:39:27.666 | INFO     |  6144 | msm.skill_entry | Installing requirements.txt for mycroft-support-helper
2021-11-02 07:39:27.667 | INFO     |  6144 | msm.skill_entry | Installing system requirements...
2021-11-02 07:39:27.722 | INFO     |  6144 | msm.skill_entry | Successfully installed fallback-query
